chat_id,user_1,user_2,started_at
1,232,704,2022-05-03 23:18:50
2,9,14,2019-07-28 07:03:10
3,98,775,2018-08-19 09:23:28
4,370,707,2023-05-06 01:13:45
5,174,671,2020-02-25 16:39:29
6,819,868,2020-01-06 07:30:17
7,259,400,2024-08-29 04:01:21
8,624,989,2018-04-21 00:12:22
9,456,473,2020-02-26 12:47:34
10,321,472,2022-04-13 12:01:08
11,364,565,2020-12-17 23:52:01
12,289,633,2018-04-07 05:16:09
13,431,812,2018-04-29 09:12:25
14,340,503,2022-07-17 02:16:53
15,80,278,2018-05-10 20:42:03
16,38,267,2021-04-25 14:11:40
17,62,684,2019-07-27 23:18:07
18,84,962,2018-02-08 22:52:48
19,262,789,2022-03-15 01:14:36
20,529,678,2022-01-30 07:15:17
21,179,898,2019-05-17 15:36:36
22,57,439,2020-11-24 09:18:32
23,136,529,2019-08-07 16:14:16
24,564,639,2019-04-22 05:41:31
25,131,374,2019-05-07 04:36:27
26,225,397,2022-03-18 14:32:10
27,133,959,2021-11-08 14:42:53
28,288,589,2021-06-14 01:24:49
29,66,619,2020-08-15 04:49:17
30,310,467,2021-09-22 19:00:25
31,499,914,2024-11-24 13:34:56
32,546,679,2018-05-14 03:41:17
33,137,408,2024-05-29 13:02:14
34,480,576,2020-03-06 09:17:58
35,53,151,2019-06-11 03:48:19
36,454,970,2021-02-20 05:19:55
37,264,502,2021-07-18 02:17:07
38,746,871,2021-10-08 07:48:56
39,627,909,2020-08-15 03:00:54
40,626,661,2021-09-20 22:10:46
41,170,522,2020-08-26 04:07:37
42,569,821,2018-03-07 23:41:16
43,6,294,2023-07-15 11:06:55
44,221,546,2021-02-21 00:44:26
45,647,985,2019-12-01 10:41:15
46,272,853,2019-07-25 09:41:57
47,101,535,2019-05-15 17:48:24
48,398,704,2021-02-06 06:37:14
49,94,683,2021-11-29 06:54:40
50,233,990,2021-10-01 14:17:16
51,41,65,2021-01-15 17:56:46
52,624,735,2021-12-06 20:42:54
53,761,934,2021-03-22 06:30:09
54,224,445,2021-10-05 16:48:13
55,655,659,2018-01-17 20:40:38
56,666,982,2020-07-03 02:11:17
57,683,811,2018-03-22 04:47:42
58,621,953,2018-12-19 18:02:10
59,774,893,2024-06-25 09:17:46
60,359,453,2022-04-20 17:38:25
61,676,796,2023-04-03 04:18:09
62,297,315,2024-01-04 09:30:46
63,58,393,2021-01-02 10:02:09
64,174,587,2022-02-19 10:51:14
65,228,660,2020-04-16 09:31:51
66,111,353,2021-10-16 14:25:45
67,61,367,2020-06-03 11:51:38
68,322,561,2018-07-25 02:25:00
69,198,572,2018-09-15 11:15:14
70,339,680,2020-05-18 13:58:44
71,650,844,2018-09-18 00:41:29
72,82,145,2018-08-29 17:15:20
73,225,280,2019-09-25 04:12:22
74,267,750,2018-04-10 20:03:28
75,516,769,2021-01-14 04:51:10
76,451,998,2021-10-09 07:54:04
77,885,953,2020-09-23 21:04:01
78,104,620,2023-05-16 20:10:47
79,201,927,2020-10-01 06:37:20
80,51,974,2020-05-26 22:06:34
81,721,791,2023-05-13 21:32:03
82,512,878,2022-09-01 03:40:38
83,480,570,2023-12-19 22:39:05
84,155,912,2018-01-10 18:26:39
