comment_id,post_id,user_id,comment_text,commented_at
1,2200,1,Nice.,2024-11-17 09:09:40
2,3755,1,Interesting.,2024-07-04 08:58:15
3,6646,2,Good.,2023-01-20 10:39:20
4,4680,2,Could be better.,2024-09-05 09:59:35
5,4354,2,Great.,2024-09-08 03:36:49
6,625,2,Could be better.,2023-07-28 22:56:47
7,2648,2,Interesting.,2023-04-18 00:25:28
8,4025,2,Interesting.,2024-07-28 19:43:11
9,2371,2,Interesting.,2024-12-07 13:51:08
10,6761,2,Good.,2024-08-11 02:12:25
11,125,2,Interesting.,2024-06-14 18:57:06
12,3366,2,Could be better.,2024-07-02 15:15:12
13,4780,2,Great.,2023-10-02 09:17:19
14,4612,2,Great.,2024-08-27 17:24:49
15,3188,3,Amazing.,2023-04-17 12:52:12
16,2351,3,Good.,2024-10-25 09:54:06
17,1411,3,Awesome.,2023-07-12 22:58:01
18,488,3,Amazing.,2023-12-02 18:13:40
19,2788,3,Not bad.,2024-07-16 05:56:39
20,4067,3,Good.,2023-05-05 04:41:51
21,1024,3,Could be better.,2023-03-23 01:30:22
22,1548,3,Interesting.,2023-06-08 07:47:36
23,6973,3,Awesome.,2023-11-16 09:22:31
24,5775,4,Interesting.,2023-06-19 12:04:29
25,5588,4,Nice.,2023-04-03 23:52:37
26,3521,4,Amazing.,2023-01-03 07:42:22
27,2209,4,Great.,2024-05-07 07:31:49
28,71,4,Interesting.,2024-05-27 13:41:31
29,5073,4,Great.,2023-06-04 21:08:47
30,4336,4,Not bad.,2024-10-10 21:48:56
31,2663,4,Nice.,2023-12-03 21:51:34
32,6041,4,Nice.,2023-06-04 02:28:39
33,3362,4,Not bad.,2023-01-15 21:01:41
34,1664,5,Good.,2023-09-09 00:32:27
35,6230,5,Amazing.,2023-03-06 13:54:56
36,2384,5,Awesome.,2023-07-04 08:33:27
37,3675,5,Amazing.,2024-07-19 00:40:04
38,3409,5,Not bad.,2024-02-25 05:32:08
39,6055,5,Could be better.,2023-05-17 17:51:15
40,2491,5,Well done.,2023-11-14 14:58:08
41,2673,5,Well done.,2024-05-26 09:24:12
42,2272,5,Great.,2023-08-30 11:43:40
43,3178,5,Awesome.,2023-06-16 20:21:03
44,246,5,Good.,2023-07-24 06:03:17
45,792,5,Not bad.,2024-07-09 14:27:53
46,3713,5,Amazing.,2024-04-26 12:38:06
47,6534,5,Well done.,2023-03-10 00:00:53
48,6430,6,Amazing.,2023-04-25 07:10:13
49,5324,6,Well done.,2023-03-12 11:39:36
50,81,6,Great.,2024-08-28 17:45:30
51,4078,6,Not bad.,2024-05-08 16:31:55
52,5911,6,Could be better.,2024-06-23 14:10:53
53,3120,6,Well done.,2024-01-22 09:43:25
54,2371,6,Great.,2024-06-27 02:33:53
55,6670,6,Awesome.,2023-09-20 11:13:40
56,1712,6,Well done.,2023-07-28 14:43:19
57,2027,6,Well done.,2024-08-20 02:01:06
58,6871,6,Interesting.,2023-12-23 07:44:22
59,1336,6,Interesting.,2024-02-07 19:52:04
60,19,7,Interesting.,2023-02-24 06:55:02
61,4137,7,Awesome.,2024-11-09 19:39:07
62,409,7,Great.,2023-08-14 21:44:22
63,1166,8,Amazing.,2024-07-03 19:07:59
64,3440,9,Interesting.,2023-02-16 02:54:46
65,5273,9,Not bad.,2024-06-07 18:53:44
66,2357,9,Amazing.,2023-10-23 02:16:30
67,3374,9,Amazing.,2023-11-21 13:52:29
68,5391,9,Could be better.,2023-09-14 21:37:15
69,6266,9,Awesome.,2024-07-04 15:55:36
70,5292,9,Well done.,2023-11-10 00:02:16
71,4982,9,Great.,2023-01-02 06:35:25
72,3057,9,Great.,2023-05-20 12:45:49
73,3065,10,Interesting.,2024-05-24 13:12:34
74,4964,10,Nice.,2023-02-05 15:30:55
75,6770,10,Awesome.,2024-10-09 19:48:41
76,1410,10,Good.,2024-06-01 19:54:15
77,5200,10,Not bad.,2023-02-14 00:14:03
78,2937,10,Well done.,2023-07-14 01:23:38
79,2144,10,Interesting.,2024-01-26 14:50:25
80,6825,10,Nice.,2023-08-22 23:22:43
81,3788,10,Awesome.,2024-06-10 04:36:05
82,5339,10,Amazing.,2023-10-25 01:48:36
83,2443,10,Nice.,2023-04-09 16:11:50
84,2614,10,Awesome.,2023-05-07 03:25:04
85,3164,11,Amazing.,2023-08-03 10:48:56
86,4286,11,Nice.,2023-07-08 04:15:48
87,6261,11,Could be better.,2024-08-16 12:41:55
88,4854,11,Nice.,2024-01-04 01:47:41
89,1631,11,Well done.,2024-04-04 05:20:56
90,3183,11,Good.,2023-08-24 13:54:20
91,2961,11,Amazing.,2023-07-09 23:27:26
92,5941,11,Nice.,2023-08-28 04:06:06
93,2975,11,Awesome.,2023-08-22 19:31:23
94,790,11,Interesting.,2023-05-07 11:06:35
95,345,11,Awesome.,2023-10-06 12:04:17
