like_id,post_id,user_id,type,liked_at
1,5353,1,like,2023-12-14 03:13:41
2,4317,1,like,2023-01-31 03:10:57
3,6783,1,like,2023-10-24 16:38:26
4,4019,1,like,2024-09-13 21:54:46
5,4897,1,like,2023-06-27 05:23:34
6,3631,1,like,2024-05-04 00:23:48
7,171,1,dislike,2024-11-13 01:51:36
8,558,1,dislike,2023-09-29 06:05:54
9,567,1,like,2024-06-19 19:39:04
10,518,1,like,2023-05-22 06:11:52
11,4533,1,like,2023-04-16 21:18:20
12,6835,1,like,2023-12-17 17:28:36
13,1200,2,like,2024-08-26 13:49:57
14,6027,2,dislike,2023-10-11 07:34:28
15,6675,2,like,2024-02-21 19:46:13
16,4378,2,like,2023-06-04 20:41:35
17,1439,2,dislike,2023-08-19 14:10:34
18,5796,2,like,2023-10-04 12:43:03
19,3651,2,like,2023-09-22 18:45:03
20,4776,2,dislike,2024-07-07 14:20:17
21,4908,2,dislike,2023-09-07 01:19:10
22,5445,2,dislike,2023-03-16 02:12:24
23,5877,2,like,2023-09-22 20:38:36
24,6577,2,like,2023-09-10 20:21:31
25,5177,2,like,2024-08-23 00:42:46
26,3440,4,like,2024-08-15 07:12:44
27,2249,4,like,2023-07-09 01:17:10
28,374,4,like,2024-02-19 00:49:26
29,5532,4,like,2023-03-13 12:04:15
30,6616,4,like,2024-01-08 05:27:33
31,6877,4,like,2024-06-29 13:48:23
32,2042,4,like,2023-08-21 22:01:29
33,4381,4,like,2023-09-27 00:09:35
34,1755,4,dislike,2024-11-02 20:32:23
35,40,4,dislike,2023-11-20 22:32:47
36,3704,4,dislike,2023-04-01 07:52:24
37,667,4,like,2023-03-15 10:43:25
38,2668,4,dislike,2023-01-20 05:39:11
39,41,4,like,2024-03-14 05:32:20
40,3348,4,like,2023-06-24 05:29:12
41,4160,4,like,2023-06-20 01:41:26
42,4594,5,like,2024-12-10 23:03:10
43,5367,5,dislike,2024-07-07 23:16:26
44,4797,5,like,2023-02-01 06:53:38
45,6323,5,like,2024-09-13 23:12:15
46,2345,5,like,2024-10-28 04:45:36
47,2356,5,dislike,2024-10-26 11:15:31
48,2968,5,like,2023-02-14 02:37:51
49,1175,5,dislike,2023-04-15 04:39:03
50,3779,5,like,2023-04-14 05:23:13
51,1196,5,dislike,2023-12-11 00:57:35
52,3325,5,like,2023-06-12 14:51:20
53,5239,5,like,2024-01-12 12:25:03
54,3303,5,like,2024-04-21 03:50:42
55,3684,6,dislike,2024-05-24 06:53:18
56,3471,6,dislike,2023-08-16 18:21:16
57,5245,6,like,2024-03-26 10:27:45
58,6103,6,like,2023-01-17 14:30:51
59,138,6,dislike,2024-08-09 21:26:36
60,2734,6,like,2023-01-24 20:20:05
61,3949,6,dislike,2024-02-14 12:09:37
62,1862,6,dislike,2024-05-25 13:09:32
63,517,6,dislike,2023-11-09 01:29:51
64,4540,6,like,2023-10-02 04:27:25
65,808,6,like,2024-12-30 18:39:32
66,4259,6,like,2024-01-03 09:21:07
67,3269,6,like,2024-06-08 16:36:30
68,2231,6,like,2023-07-18 03:03:09
69,4414,6,like,2023-04-20 20:48:43
70,6783,6,like,2024-02-03 02:22:52
71,2590,6,dislike,2023-02-01 23:16:40
72,6855,7,like,2023-03-28 17:02:35
73,2731,7,like,2024-09-22 07:52:04
74,5327,7,like,2023-12-21 01:58:17
75,5778,7,like,2024-10-21 15:31:27
76,2026,7,dislike,2023-07-27 11:34:21
77,3247,7,like,2023-12-29 17:52:11
78,4893,7,like,2024-01-14 02:36:27
79,2406,7,like,2024-02-25 08:18:50
80,739,7,like,2024-11-16 16:11:19
81,1320,7,like,2024-11-03 16:24:22
82,2811,7,like,2023-12-19 04:32:25
83,6170,7,like,2024-09-07 01:41:55
84,3214,7,like,2023-02-19 12:34:50
85,4550,7,like,2024-04-14 07:29:04
86,2535,7,like,2024-07-19 16:00:56
87,3493,7,dislike,2024-04-07 06:47:01
88,1016,7,like,2023-06-05 00:30:00
89,6746,7,dislike,2024-01-04 19:54:54
90,3523,8,like,2024-07-26 16:44:37
91,4688,9,like,2023-06-26 20:57:01
92,1897,9,like,2023-09-04 13:23:33
93,1767,9,like,2024-08-01 07:00:32
94,3973,9,dislike,2024-12-01 10:13:21
95,625,9,dislike,2024-08-24 08:50:08
96,3883,9,like,2023-03-01 03:43:22
97,3283,9,like,2024-06-17 01:22:50
98,4515,9,like,2023-01-26 23:24:08
99,6179,9,like,2023-09-03 15:52:58
100,1356,9,like,2024-07-22 16:41:45
101,6818,9,like,2023-07-07 04:22:39
102,1354,9,dislike,2024-01-17 16:21:06
103,167,9,like,2024-09-09 20:17:37
104,4216,9,like,2024-12-12 08:52:35
105,4884,9,dislike,2024-10-27 10:40:07
106,2248,9,like,2024-10-17 16:58:16
107,1114,9,dislike,2024-05-18 08:17:52
108,6070,9,like,2024-02-25 02:50:27
109,6176,9,like,2024-09-12 08:13:09
110,6739,9,like,2024-03-07 13:26:36
111,604,10,like,2023-05-11 08:52:55
112,1822,10,like,2023-07-15 21:11:49
113,3294,10,like,2024-09-10 01:36:58
114,4841,10,like,2024-10-04 11:50:20
115,3529,10,like,2024-08-02 19:35:59
116,3836,10,like,2023-01-14 06:27:45
117,5060,10,like,2023-04-27 13:07:54
118,1175,10,like,2023-08-17 01:23:15
119,3188,10,dislike,2023-09-11 09:33:32
120,2556,10,like,2024-03-29 20:25:04
121,3946,10,like,2023-10-10 17:42:28
122,3055,10,dislike,2024-06-14 18:11:18
123,1985,10,like,2024-09-22 16:22:59
124,6105,10,like,2024-10-28 20:12:17
125,6462,10,like,2023-09-05 07:14:23
