id,post_id,tag_id
1,1,19
2,2,44
3,2,42
4,2,43
5,3,61
6,3,5
7,4,35
8,5,59
9,5,26
10,6,10
11,6,12
12,6,11
13,7,55
14,8,31
15,8,15
16,8,52
17,9,44
18,9,42
19,9,43
20,10,35
21,10,32
22,10,34
23,11,13
24,11,1
25,11,25
26,12,49
27,12,8
28,13,62
29,14,13
30,14,33
31,15,22
32,15,26
33,15,54
34,16,44
35,16,21
36,17,34
37,18,31
38,19,10
39,19,20
40,20,23
41,21,46
42,21,18
43,21,2
44,22,36
45,22,40
46,23,20
47,24,51
48,25,45
49,25,47
50,26,44
51,27,29
52,27,67
53,27,65
54,28,66
55,28,27
56,28,30
57,29,38
58,29,44
59,29,2
60,30,4
61,31,9
62,31,6
63,31,7
64,32,14
65,32,16
66,33,44
67,34,61
68,34,7
69,35,11
70,35,58
71,35,14
72,36,41
73,36,3
74,37,54
75,38,18
76,38,19
77,39,19
78,39,25
79,40,60
80,40,41
81,41,17
82,41,16
83,42,32
84,43,6
85,43,8
86,43,9
87,44,4
88,44,64
89,44,25
90,45,38
91,45,37
92,46,47
93,46,33
94,46,30
95,47,14
96,47,15
97,48,9
98,48,26
99,48,35
100,49,27
101,50,26
102,50,27
103,50,25
104,51,44
105,51,43
106,52,16
107,53,63
108,54,64
109,55,50
110,55,56
111,56,24
112,56,27
113,57,9
114,58,11
115,59,61
116,60,40
117,60,41
118,60,39
119,61,43
120,62,48
121,62,45
122,63,59
123,63,58
124,64,65
125,65,63
126,65,64
127,66,4
128,66,34
129,66,66
130,67,23
131,68,24
132,68,26
133,69,63
134,70,65
135,71,47
136,71,6
137,71,34
138,72,54
139,73,9
140,73,8
141,73,7
142,74,33
143,74,60
144,74,11
145,75,26
146,75,25
147,75,24
148,76,61
149,77,21
150,77,23
151,77,22
152,78,30
153,78,34
154,79,5
155,79,4
156,80,64
157,80,36
158,81,2
159,81,35
160,81,5
161,82,59
162,82,32
163,83,16
164,83,46
165,84,42
166,84,4
167,84,21
168,85,66
169,85,40
170,85,59
171,86,23
172,86,22
173,87,58
174,87,48
175,88,43
176,88,42
177,88,44
178,89,57
179,89,44
180,90,24
181,90,49
182,91,19
183,91,20
184,92,7
185,92,55
186,92,24
187,93,38
188,93,36
189,94,17
190,95,60
191,96,47
192,97,51
193,98,23
194,98,58
195,98,39
196,99,28
197,99,30
198,99,29
199,100,9
200,101,35
201,101,45
202,102,13
203,103,2
204,104,26
205,105,61
206,105,57
207,105,11
208,106,38
209,107,67
210,108,52
211,108,53
212,108,51
213,109,4
214,109,2
215,110,64
216,110,7
217,111,35
218,111,23
219,112,9
220,113,32
221,113,35
222,113,34
223,114,65
224,114,3
225,115,35
226,115,46
227,116,62
228,116,61
229,116,60
230,117,68
231,117,66
232,118,46
233,119,4
234,119,5
235,119,3
236,120,10
237,120,40
238,120,59
239,121,66
240,121,68
241,122,42
242,122,44
243,123,31
244,123,10
245,124,59
246,125,48
247,125,9
248,125,66
249,126,5
250,126,63
251,127,66
252,127,67
253,128,40
254,129,19
255,130,34
256,130,35
257,131,53
258,132,67
259,133,23
260,133,22
261,134,45
262,135,26
263,135,9
264,135,24
265,136,62
266,137,14
267,137,17
268,138,3
269,139,26
270,139,25
271,140,4
272,140,39
273,141,57
274,142,21
275,142,22
276,142,23
277,143,19
278,144,17
279,144,46
280,144,32
281,145,48
282,145,50
283,146,35
284,146,32
285,146,18
286,147,21
287,147,20
288,147,2
289,148,18
290,149,57
291,149,59
292,150,6
293,150,8
294,151,2
295,151,45
296,151,9
297,152,12
298,153,41
299,153,40
300,154,56
301,154,47
302,154,14
303,155,53
304,155,57
305,155,16
306,156,41
307,156,39
308,157,19
309,157,18
310,158,57
311,159,7
312,160,64
313,160,67
314,161,60
315,161,50
316,162,45
317,162,56
318,162,17
319,163,19
320,163,23
321,164,9
322,165,4
323,165,17
324,166,5
325,166,1
326,166,4
327,167,18
328,167,7
329,168,54
330,168,20
331,169,3
332,170,49
333,170,53
334,171,49
335,171,26
336,172,41
337,173,38
338,174,13
339,174,1
340,175,20
341,176,23
342,177,17
343,177,24
344,178,19
345,178,18
346,179,9
347,179,42
348,179,15
349,180,46
350,180,51
351,180,1
352,181,14
353,181,51
354,182,14
355,183,42
356,183,51
357,184,15
358,184,17
359,184,14
360,185,58
361,185,21
362,185,51
363,186,61
364,186,51
365,187,62
366,187,61
367,187,60
368,188,39
369,188,41
370,188,40
371,189,51
372,189,14
373,189,52
374,190,32
375,190,34
376,190,33
377,191,55
378,192,55
379,193,20
380,193,19
381,193,18
382,194,54
383,194,55
384,194,56
385,195,1
386,195,4
387,196,1
388,196,9
389,197,20
390,198,53
391,198,31
392,198,21
393,199,62
394,200,23
395,201,21
396,202,4
397,202,16
398,202,8
399,203,54
400,203,30
401,204,37
402,204,7
403,205,1
404,205,26
405,206,61
406,207,3
407,207,12
408,208,67
409,208,19
410,209,55
411,210,7
412,210,56
413,211,2
414,212,53
415,213,32
416,213,34
417,214,25
418,214,27
419,214,24
420,215,41
421,215,35
422,216,65
423,216,64
424,217,10
425,217,54
426,218,32
427,219,25
428,219,27
429,220,53
430,220,52
431,221,20
432,221,19
433,221,18
434,222,21
435,222,23
436,222,22
437,223,12
438,223,18
439,223,68
440,224,38
441,224,45
442,224,47
443,225,50
444,225,49
445,225,48
446,226,31
447,226,11
448,227,40
449,227,39
450,228,12
451,228,18
452,228,46
453,229,3
454,229,2
455,229,1
456,230,43
457,231,46
458,232,21
459,232,27
460,233,43
461,233,42
462,233,44
463,234,19
464,235,3
465,235,31
466,236,44
467,236,43
468,237,57
469,237,59
470,237,58
471,238,33
472,239,31
473,239,29
474,240,33
475,240,32
476,240,34
477,241,20
478,242,40
479,242,48
480,242,64
481,243,24
482,243,27
483,244,68
484,244,66
485,245,36
486,245,37
487,245,38
488,246,30
489,246,68
490,246,61
491,247,49
492,248,60
493,249,49
494,249,11
495,250,42
496,250,43
497,251,22
498,252,68
499,252,62
500,252,36
501,253,21
502,253,27
503,253,4
504,254,3
505,254,2
506,254,4
507,255,13
508,255,11
509,255,10
510,256,27
511,257,57
512,257,10
513,258,15
514,258,17
515,259,42
516,259,41
517,259,57
518,260,9
519,261,54
520,261,27
521,261,53
522,262,27
523,262,19
524,262,65
525,263,50
526,263,3
527,263,21
528,264,31
529,264,29
530,264,30
531,265,46
532,265,47
533,266,14
534,266,17
535,267,10
536,268,50
537,269,38
538,269,36
539,269,37
540,270,12
541,270,13
542,271,59
543,272,40
544,273,18
545,273,61
546,274,36
547,275,15
548,275,14
549,275,16
550,276,23
551,277,35
552,278,60
553,278,19
554,279,25
555,279,1
556,280,38
557,280,37
558,281,33
559,281,32
560,281,34
561,282,38
562,283,13
563,284,33
564,284,32
565,284,34
566,285,54
567,285,18
568,286,57
569,287,11
570,288,64
571,288,63
572,289,54
573,289,55
574,289,56
575,290,16
576,290,58
577,290,62
578,291,39
579,291,40
580,292,31
581,292,39
582,293,26
583,293,25
584,294,55
585,294,3
586,295,66
587,295,2
